,0
2163,"Dislocation of right ankle joint, initial encounter"
2164,FX OLECRAN PROC ULNA-CL
2165,"Maxillary fracture, left side, init"
2166,Other ectopic pregnancy without intrauterine pregnancy
2167,HYPERTROPHY (BENIGN) OF PROSTATE WITH URINARY OBSTRUCTION AND OTHER LOWER URINARY TRACT SYMPTOMS (LUTS)
2168,Parosmia
2169,"Unqualified visual loss, right eye, normal vision left eye"
2170,OPN SKUL VLT FX W/O COMA
2171,HIV DISEASE
2172,MEGACOLON NEC
2173,"Burn unsp degree of single l finger except thumb, init"
2174,HEMOPERITONEUM
2175,"Carpal tunnel syndrome, left upper limb"
2176,Periumbilic abdominal tenderness
2177,VOMITING POST-GI SURGERY
2178,"Oth fracture of fourth metacarpal bone, left hand, init"
2179,"Disp fx of olecran pro w intartic extn right ulna, init"
2180,"Respiratory failure, unspecified with hypoxia"
2181,"Disruption of wound, unspecified, initial encounter"
2182,"Unsp athscl native arteries of extremities, bilateral legs"
2183,"Cluster headache syndrome, unspecified, not intractable"
2184,"OTHER INFLAMMATORY DISEASE OF CERVIX, VAGINA AND VULVA"
2185,"Nondisplaced transverse fracture of right patella, init"
2186,1ST DEG BURN MULT FINGER
2187,Other abscess of pharynx
2188,"Oth fracture of third metacarpal bone, right hand, init"
2189,Complete or unsp spontaneous abortion without complication
2190,DISEASES OF LIPS
2191,DISS THORACIC AORTIC ANEURYSM
2192,Vascular dementia without behavioral disturbance
2193,CARDIOGENIC SHOCK
2194,SUPERVIS NORMAL 1ST PREG
2195,"Oth fracture of left ilium, init encntr for closed fracture"
2196,SUBARACH HEM-COMA NOS
2197,"Burn of second degree of left forearm, sequela"
2198,FEMALE INFERTILITY NEC
2199,FX LOW END FEMUR NOS-OPN
2200,"Oth fracture of shaft of left fibula, init for clos fx"
2201,"Calcific tendinitis, other site"
2202,"Other fracture of sacrum, init encntr for closed fracture"
2203,"Major laceration of left kidney, initial encounter"
2204,"Traumatic ischemia of muscle, initial encounter"
2205,(Induced) termination of pregnancy with other complications
2206,DELAY P/PART HEM-POSTPAR
2207,"Poisoning by benzodiazepines, accidental, init"
2208,COMPLIC MED CARE NEC/NOS
2209,"Open bite of left forearm, initial encounter"
2210,"Pruritus, unspecified"
2211,CIRCULATORY DISEASE NEC
2212,Abnormal findings in other body fluids and substances
2213,MAJOR DEPRESSION-SEVERE
2214,"Other scleritis, left eye"
2215,VACCIN FOR DISEASE NEC
2216,ADMINISTRTVE ENCOUNT NOS
2217,"Puncture wound w/o foreign body of unsp hand, init encntr"
2218,Pain in joints of left hand
2219,ALOPECIA NOS
2220,Other problems related to social environment
2221,2ND DEG BURN FACE NEC
2222,KERATOCONJUNCTIVITIS NOS
2223,"Unsp fracture of fourth thoracic vertebra, init for clos fx"
2224,Abnormal findings on diagnostic imaging of prt ms sys
2225,MYASTHENIA GRAVIS WITH ACUTE EXACERB.
2226,PSEUDOMONAL PNEUMONIA
2227,"SPINAL STENOSIS, LUMBAR REGION, WITHOUT NEUROGENIC CLAUDICATION"
2228,HYPERCALCEMIA
2229,Pseudofolliculitis barbae
2230,"FX PHALANX, HAND NOS-CL"
2231,"Toxic effect of unsp corrosive substance, accidental, init"
2232,"Poisn by crbnc-anhydr inhibtr,benzo/oth diuretc,slf-hrm,init"
2233,"Oth fractures of lower end of right radius, init for clos fx"
2234,"Otalgia, left ear"
2235,"Traumatic hemothorax, initial encounter"
2236,ONYCHIA OF FINGER
2237,Hordeolum externum right lower eyelid
2238,"Poisoning by peripheral vasodilators, accidental, init"
2239,Generalized hyperhidrosis
2240,FX GR TUBEROS HUMERUS-CL
2241,"Poisn by oth nonsteroid anti-inflam drugs, self-harm, init"
2242,"Contusion of right back wall of thorax, initial encounter"
2243,MULTIPLE SCLEROSIS
2244,INFLAMMATION OF JAW
2245,OBSERVATION FOR SUSPECTED ABUSE AND NEGLECT NOT FOUND
2246,"Other injuries of left eye and orbit, initial encounter"
2247,"Foreign body on external eye, part unsp, left eye, init"
2248,2ND DEG BURN FINGER
2249,Calculus of GB and bile duct w/o cholecyst w/o obstruction
2250,"Infection of amputation stump, right lower extremity"
2251,ABDOMINAL TENDERNESS LUQ
2252,"Poisoning by oth antidepressants, accidental, init"
2253,"Unspecified sprain of right hip, initial encounter"
2254,PERSISTENT VOMITING
2255,DISRUPT C-SECT-POSTPART
2256,"Cystitis, unspecified without hematuria"
2257,FRACTURE CALCANEUS-CLOSE
2258,GANGLION OF JOINT
2259,FX SHAFT RAD W ULNA-CLOS
2260,Encounter for fitting and adjustment of urinary device
2261,RECTAL PROLAPSE
2262,POIS-SEDATIVE/HYPNOT NEC
2263,DRUG WITHDRAWAL SYNDROME
2264,Other specified disorders of peritoneum
2265,"Acute peptic ulcer, site unsp, w/o hemorrhage or perforation"
2266,TOXIC EFFECT NONMEDICINAL SUBS
2267,Abnormal results of liver function studies
2268,"Displaced comminuted fx shaft of humerus, left arm, init"
2269,"Hemorrhage due to vascular prosth dev/grft, init"
2270,"Displacement of surgically created AV fistula, init"
2271,"Sprain of ligaments of lumbar spine, initial encounter"
2272,"Unsp disp fx of seventh cervical vertebra, init for clos fx"
2273,"Poisoning by penicillins, intentional self-harm, init encntr"
2274,INTRASPINAL ABSCESS
2275,"Displacement of bile duct prosthesis, initial encounter"
2276,FX LOWER HUMER NOS-OPEN
2277,PERFORAT TYMPAN MEMB NOS
2278,Unspecified ptosis of right eyelid
2279,OPN WOUND HAND-COMPLICAT
2280,Abscess of lung without pneumonia
2281,SPINAL STENOSIS NOS
2282,"Contusion of left elbow, initial encounter"
2283,ASEPTIC NECROSIS FEMUR
2284,Corpus luteum cyst of left ovary
2285,"Follicular cyst of the skin and subcutaneous tissue, unsp"
2286,"Noninflammatory disorder of vagina, unspecified"
2287,"Unsp physeal fracture of upper end of right tibia, init"
2288,Radiation proctitis
2289,"Laceration w fb of r idx fngr w/o damage to nail, init"
2290,"Poisoning by oth synthetic narcotics, accidental, init"
2291,"Displaced bimalleolar fracture of left lower leg, init"
2292,"Foreign body in small intestine, initial encounter"
2293,"Sedatv/hyp/anxiolytc dependence w withdrawal, unsp"
2294,Encounter for removal of sutures
2295,Non-pressure chronic ulcer of skin of sites w unsp severity
2296,OPEN WOUND OF BUTTOCK
2297,"Unsp disp fx of sixth cervical vertebra, init for clos fx"
2298,"Anaphylactic shock, unspecified, initial encounter"
2299,"Abdominal aortic aneurysm, ruptured"
2300,"Other disorders of meninges, not elsewhere classified"
2301,"Unsp fracture of right calcaneus, init for clos fx"
2302,"Posterior dislocation of left sternoclavicular joint, init"
2303,"Contusion of left wrist, initial encounter"
2304,OCCLUS CAROTID ART NO INFARCT
2305,OTHER CONDITIONS OF BRAIN
2306,DRUG-INDUCED DELIRIUM
2307,MAJOR DEPRESSION-MOD
2308,"Disp fx of coracoid process, left shoulder, init for clos fx"
2309,FX UP TIBIA W FIBULA-CL
2310,POLYDIPSIA
2311,"Hemorrhage from respiratory passages, unspecified"
2312,"Open bite of right hand, initial encounter"
2313,"Nondisp fx of body of scapula, l shoulder, init for opn fx"
2314,DISLOCAT FOOT NEC-CLOSED
2315,"Traumatic hemopneumothorax, initial encounter"
2316,"Spinal stenosis, lumbar region without neurogenic claud"
2317,FOOD POISONING NOS
2318,"Inflammatory disease of prostate, unspecified"
2319,FX MULT RIBS NOS-CLOSED
2320,"Disp fx of lateral end of right clavicle, init for clos fx"
2321,Other specified diseases of esophagus
2322,Other skin changes
2323,Other pruritus
2324,"DEMENTIA, UNSPECIFIED, WITHOUT BEHAVIORAL DISTURBANCE"
2325,Neoplasm related pain (acute) (chronic)
2326,"Pneumothorax, unspecified"
2327,Hypovolemia
2328,"Vascular disorder of intestine, unspecified"
2329,"Localized swelling, mass and lump, trunk"
2330,"Impacted cerumen, right ear"
2331,Type 2 diabetes mellitus with other specified complication
2332,Nontraumatic compartment syndrome of left lower extremity
2333,FOREIGN BDY EXT EYE NOS
2334,TACHYPNEA
2335,"Unspecified lump in the right breast, unspecified quadrant"
2336,AMPUTATION THUMB
2337,Unspecified sexually transmitted disease
2338,INFLAM DISEASE OF BREAST
2339,NASAL BONE FX-OPEN
2340,"Colles' fracture of right radius, init for clos fx"
2341,Encounter for issue of repeat prescription
2342,JOINT PAIN-HAND
2343,"Lateral dislocation of left patella, initial encounter"
2344,"Sprain of medial collateral ligament of right knee, init"
2345,OLIGURIA & ANURIA
2346,"Nondisp fx of base of fifth metacarpal bone, left hand, init"
2347,Secondary malignant neoplasm of bone
2348,PUERP COMPL NEC-POSTPART
2349,"Pnctr w/o fb of left thumb w/o damage to nail, init"
2350,"Laceration without foreign body of scalp, sequela"
2351,"Vomiting of pregnancy, unspecified"
2352,RETINAL VASC OCCLUS NOS
2353,"Penetrating wound of orbit w or w/o fb, right eye, init"
2354,"Fracture of mandible of oth site, init for clos fx"
2355,"Disp fx of medial cuneiform of left foot, init for clos fx"
2356,IDDM W/OTHER MANIF UNCONTR
2357,"Alcohol dependence with intoxication, uncomplicated"
2358,"Displaced transverse fx shaft of humerus, left arm, init"
2359,MYCOSIS FUNGOIDES UNSPEC
2360,POISONING-SYMPATHOLYTICS
2361,"Oth intartic fracture of lower end of right radius, init"
2362,Primary genital syphilis
2363,POISONING-SULFONAMIDES
2364,ABDOM/PELVIC SWELL/MASS RUQ
2365,OPEN WOUND OF FACE NOS
2366,OTHER PANCYTOPENIA
2367,"Unsp injury of right wrist, hand and finger(s), init encntr"
2368,Unspecified parasitic disease
2369,OPEN WOUND OF NECK NEC
2370,"Nondisp fx of neck of fifth metacarpal bone, left hand, init"
2371,"Disp fx of distal phalanx of left lesser toe(s), init"
2372,ADJUSTMENT REACTION NEC
2373,"Unspecified injury of right eye and orbit, initial encounter"
2374,Achalasia of cardia
2375,ENTHESOPATHY OF HIP
2376,MALIGNANT NEOPLASM NOS
2377,DISLOCATION ANKLE-CLOSED
2378,INJURY RADIAL VESSELS
2379,"Displaced pilon fracture of right tibia, init for clos fx"
2380,ALLERG ALVEOL/PNEUM NOS
2381,IDDM UNCONTROLLED W/KETOACID
2382,"Local-rel symptc epi w cmplx prt seiz,not ntrct,w/o stat epi"
2383,"Laceration w/o foreign body of right upper arm, init encntr"
2384,HEPATORENAL SYNDROME
2385,TRANS HYPERTEN-ANTEPART
2386,TOOTH ERUPTION DISTURB
2387,"Lac w/o fb of left lesser toe(s) w/o damage to nail, init"
2388,Phlebitis and thombophlb of superfic vessels of l low extrem
2389,DISSECTION OF CAROTID ARTERY
2390,"Nondisp fx of distal phalanx of right middle finger, init"
2391,"Disloc of proximal interphaln joint of l mid finger, init"
2392,"Acute embolism and thrombosis of femoral vein, bilateral"
2393,CONTUSION OF EYE NOS
2394,"Unsp inj musc/tend the rotator cuff of r shoulder, init"
2395,Tinea pedis
2396,"FX TRIQUETRAL, WRIST-CL"
2397,"Umbilical hernia with obstruction, without gangrene"
2398,CRUSHING INJ TRUNK NEC
2399,ELEVATED SEDIMENT RATE
2400,"PRESSURE ULCER, BUTTOCK"
2401,"Oth fracture of lower end of right tibia, init for clos fx"
2402,CORNEAL FOREIGN BODY
2403,SPONDYLOS NOS W/O MYELOP
2404,POISONING-OPIATES NEC
2405,Biliary acute pancreatitis
2406,SUPRCONDYL FX HUMERUS-CL
2407,Acute embolism and thrombosis of unspecified iliac vein
2408,CRACKED TOOTH 
2409,"Displaced oth fracture of tuberosity of left calcaneus, init"
2410,"Complete placenta previa with hemorrhage, second trimester"
2411,"Foreign body in vulva and vagina, initial encounter"
2412,"Enterovirus infection, unspecified"
2413,"Acute atopic conjunctivitis, left eye"
2414,"Unsp fracture of fifth metacarpal bone, left hand, init"
2415,OTHER PNEUMOTHORAX
2416,"Unspecified injury of right foot, initial encounter"
2417,"Hemorrhage due to other internal prosth dev/grft, init"
2418,"Displaced transverse fracture of right patella, init"
2419,DISEASE OF PHARYNX NEC
2420,ORGANIC BRAIN SYND NOS
2421,CERVICAL SPINAL STENOSIS
2422,"Peritonitis, unspecified"
2423,URETHRAL STRICTURE NOS
2424,Other mental disorders complicating the puerperium
2425,"Traum subrac hem w LOC of 30 minutes or less, init"
2426,Unspecified mood [affective] disorder
2427,Fibromyalgia
2428,"ASTHMA, UNSPECIFIED"
2429,Postherpetic geniculate ganglionitis
2430,OTHER SPECIFIED EPISODIC MOOD DISORDER
2431,"Urethral discharge, unspecified"
2432,Hypocalcemia
2433,"Fracture of unsp part of right clavicle, init for clos fx"
2434,"Displaced comminuted fracture of left patella, init"
2435,FX METATARSAL-OPEN
2436,"Contusion of unspecified back wall of thorax, init encntr"
2437,Gross hematuria
2438,"Acute pancreatitis with uninfected necrosis, unspecified"
2439,OPN WND TONGUE/MOUTH FLR
2440,SINOATRIAL NODE DYSFUNCT
2441,PURULENT ENDOPHTHALM NOS
2442,"Liver disease, unspecified"
2443,"Puncture wound w/o foreign body of left hand, init encntr"
2444,URGENCY OF URINATION
2445,"STRESS REACT, EMOTIONAL"
2446,"Contusion of left great toe with damage to nail, init encntr"
2447,"Traum hemor cereb, w LOC of unsp duration, init"
2448,DIAB HYPEROSM COMA ADULT
2449,"Unspecified laceration of spleen, initial encounter"
2450,Varicose veins of r low extrem with other complications
2451,"Arteritis, unspecified"
2452,"FX SCAPUL, ACROM PROC-CL"
2453,"Volume depletion, unspecified"
2454,"Localized swelling, mass and lump, right lower limb"
2455,"Nondisp fx of lateral end of right clavicle, init"
2456,Acute pulmonary edema
2457,LYMPHOMA NEC UNSPEC SITE
2458,Acute embolism and thrombosis of inferior vena cava
2459,"Elevated blood-pressure reading, w/o diagnosis of htn"
2460,Conversion disorder with seizures or convulsions
2461,Scabies
2462,"Sprain of interphalangeal joint of left great toe, init"
2463,Other specified cataract
2464,RESPIRATORY CONDITIONS DUE TO SMOKE INHALATION
2465,"Other specified joint disorders, left shoulder"
2466,"Disp fx of right radial styloid process, init for clos fx"
2467,"Diffuse TBI w LOC of 30 minutes or less, init"
2468,DISLOC METACARPOPHALN-CL
2469,Other sleep disorders
2470,LIVER HEMATOMA/CONTUSION
2471,ACUTE VENOUS EMBOLISM AND THROMBOSIS OF OTHER THORACIC VEINS
2472,"Laceration without foreign body of right elbow, init encntr"
2473,"Abrasion of lip, initial encounter"
2474,"Fracture of vault of skull, init encntr for closed fracture"
2475,DUODENITIS-NO HEMORRHAGE
2476,SCABIES
2477,Acute lymphangitis of left toe
2478,OTHER SPECIFIED AFTERCARE
2479,Esophageal obstruction
2480,MECKEL'S DIVERTICULUM
2481,"Spinal stenosis, cervical region"
2482,Acute nonspecific idiopathic pericarditis
2483,Postproc hematoma of a GU sys org fol a GU sys procedure
2484,SPRAIN ELBOW/FOREARM NEC
2485,"Other chronic osteomyelitis, right ankle and foot"
2486,Nasal congestion
2487,Acute vaginitis
2488,"Vascular comp fol infusn, tranfs and theraputc inject, init"
2489,"Unsp fracture of lower end of left humerus, init for opn fx"
2490,CONDUCT HEARING LOSS NOS
2491,"Abrasion of right forearm, initial encounter"
2492,"Dislocation of tarsometatarsal joint of unsp foot, init"
2493,POIS-AROM ANALGESICS NEC
2494,"Intervertebral disc disorders with myelopathy, lumbar region"
2495,JOINT EFFUSION-L/LEG
2496,"Puncture wound w/o foreign body, right thigh, init encntr"
2497,"Encephalitis and encephalomyelitis, unspecified"
2498,"Latent syphilis, unspecified as early or late"
2499,Inflammatory conditions of jaws
2500,FX CONDYL PROC MAND-OPEN
2501,ANOREXIA
2502,"Otalgia, unspecified ear"
2503,Other complications of colostomy
2504,"Dislocation of jaw, bilateral, initial encounter"
2505,Other obstructive and reflux uropathy
2506,Right lower quadrant abdominal tenderness
2507,CL SKULL BASE FX/HEM NEC
2508,AC VASC INSUFF INTESTINE
2509,"Infect/inflm reaction due to oth int prosth dev/grft, init"
2510,"Intcran inj w LOC of 30 minutes or less, init"
2511,EFFECT REDUCED TEMP NOS
2512,"Laceration with foreign body of right shoulder, init encntr"
2513,"Insect bite (nonvenomous), left lesser toe(s), init encntr"
2514,PANCREAT CYST/PSEUDOCYST
2515,Other forms of stomatitis
2516,"Displaced transverse fracture of shaft of left tibia, init"
2517,"CELLULITIS, SITE NEC"
2518,OSTEOMYELITIS NOS-PELVIS
2519,Delayed or excess hemor fol complete or unsp spon abortion
2520,"Pnctr w/o fb of r mid finger w/o damage to nail, init"
2521,AC ALCOHOLIC HEPATITIS
2522,Postproc hemor of a GU sys org following a GU sys procedure
2523,CERVICAL DISC DISPLACMNT
2524,Abnormal level of hormones in cerebrospinal fluid
2525,Hemorrhage from other sites in respiratory passages
2526,GANGRENE
2527,"Injury of radial nerve at wrs/hnd lv of left arm, init"
2528,Other specified leukemias not having achieved remission
2529,MYOCLONUS
2530,"Diseases of the dgstv sys comp pregnancy, first trimester"
2531,ACCIDENTAL OP LACERATION
2532,Other forms of dyspnea
2533,Ulceration of vulva
2534,Benign neoplasm of right ovary
2535,SPLEEN INJURY NOS-CLOSED
2536,"Displ suprcndl fx w/o intrcndl extn lower end l femur, init"
2537,FOREIGN BODY IN STOMACH
2538,POLYARTHRITIS NOS-MULT
2539,"Laceration without foreign body of left ear, init encntr"
2540,"Postproc intestinal obst, unsp as to partial versus complete"
2541,"Other specified injuries of right elbow, initial encounter"
2542,"Unilateral primary osteoarthritis, right hip"
2543,"EPILEPSY COMPLICATING PREGNANCY, CHILDBIRTH, OR THE PUERPERIUM, ANTEPARTUM CONDITION OR COMPLICATION"
2544,Type 2 diabetes w diabetic autonomic (poly)neuropathy
2545,"Disp fx of distal phalanx of left thumb, init for opn fx"
2546,"Oth noninflammatory disord of ovary, fallop and broad ligmt"
2547,CRAMP IN LIMB
2548,BONE/SKIN NEOPLASM NOS
2549,"Disp fx of second metatarsal bone, left foot, init"
2550,2ND DEG BURN MULT FINGER
2551,"Oth injuries of left shoulder and upper arm, init encntr"
2552,"Monteggia's fracture of right ulna, init for clos fx"
2553,CALCIF TENDINITIS SHLDER
2554,"Lyme disease, unspecified"
2555,"Other fracture of left talus, init encntr for open fracture"
2556,RECTUM INJURY-CLOSED
2557,OPN WND OCULAR ADNEX NOS
2558,"Unspecified dislocation of right patella, initial encounter"
2559,"PRESSURE ULCER, LOWER BACK"
2560,"Disorder of kidney and ureter, unspecified"
2561,Cardiac tamponade
2562,PERI-PROSTHETIC FRACTURE AROUND PROSTHETIC JOINT
2563,"PREGNANCY EXAMINATION OR TEST, POSITIVE RESULT"
2564,"Contusion of left middle finger w/o damage to nail, init"
2565,"Displaced transverse fracture of shaft of left femur, init"
2566,"Oth complications following immunization, NEC, init"
2567,SHOCK NOS
2568,Pain in left hand
2569,CHRONIC GOUTY ARTHROPATHY WITH TOPHUS (TOPHI)
2570,Abscess of liver
2571,"Pressure ulcer of sacral region, stage 4"
2572,ACQ PYLORIC STENOSIS
2573,"Unsp fracture of lower end of right humerus, init"
2574,CEREBEL CONTUS-DEEP COMA
2575,"Other bursitis, not elsewhere classified, left elbow"
2576,"Poisn by antiparkns drug/centr musc-tone depr, slf-hrm, init"
2577,OPEN WOUND OF PENIS
2578,Other specified disorders of nose and nasal sinuses
2579,Hidradenitis suppurativa
2580,Unspecified papilledema
2581,"CHOLECYSTITIS, UNSPECIFIED"
2582,Other specified noninflammatory disorders of uterus
2583,POIS-ANTIHYPERTEN AGENT
2584,"Abrasion, left thigh, initial encounter"
2585,"Unsp fracture of occiput, init encntr for closed fracture"
2586,VENTRAL HERNIA NOS
2587,CARDIOMEGALY
2588,Other complications of enterostomy
2589,MALIGNANT ASCITES
2590,"Sprain of other ligament of left ankle, initial encounter"
2591,ATRIOVEN BLOCK-MOBITZ II
2592,Other hydrocephalus
2593,"Nontraumatic subdural hemorrhage, unspecified"
2594,"Poisoning by insulin and oral hypoglycemic drugs, acc, init"
2595,"AGGRESSIVE PERIODONTITIS, UNSPECIFIED"
2596,"Sprain of ligaments of cervical spine, initial encounter"
2597,CRUSHING INJURY FINGER
2598,"BIPOL AFF, DEPR-SEVERE"
2599,Acc pnctr & lac of a dgstv sys org during oth procedure
2600,"Poisoning by unsp narcotics, accidental, init"
2601,ULCER OF CALF
2602,LEGAL ABORT UNCOMPL-INC
2603,"Post-traumatic headache, unspecified, not intractable"
2604,OPEN WOUND HAND W TENDON
2605,"Disp fx of posterior wall of left acetabulum, init"
2606,"Discitis, unspecified, lumbar region"
2607,"Intra-abd and pelvic swelling, mass and lump, unsp site"
2608,Zoster with other complications
2609,OTHER GENERAL SYMPTOMS
2610,Other iron deficiency anemias
2611,"Opioid abuse with intoxication, unspecified"
2612,ABN BLOOD CHEMISTRY NEC
2613,"Disp fx of distal phalanx of right ring finger, init"
2614,GU INFECTION-ANTEPARTUM
2615,Abnormal results of kidney function studies
2616,Irritable bowel syndrome without diarrhea
2617,"Follicular disorder, unspecified"
2618,"Unsp fracture of T9-T10 vertebra, init for clos fx"
2619,SUBARACH HEM-MOD COMA
2620,"Breakdown (mechanical) of int fix of bones, init"
2621,INTESTINAL FISTULA
2622,Puerperal psychosis
2623,OPEN WOUND OF EAR DRUM
2624,"Puncture wound without foreign body, left thigh, init encntr"
2625,"ACUTE LYMPHOID LEUKEMIA, WITHOUT MENTION OF HAVING ACHIEVED REMISSION"
2626,BUDD-CHIARI SYNDROME
2627,ABDOM/PELV SWELL/MASS UNSP SITE
2628,BRAIN LACERATION NEC
2629,OTHER TMJ DISORDER
2630,"Oth psychoactive substance dependence w intoxication, unsp"
2631,Other comp of incontinent external stoma of urinary tract
2632,"Intervertebral disc disorders w radiculopathy, lumbar region"
2633,"Asphyxiation due to hanging, intentional self-harm, init"
2634,Intracranial and intraspinal phlebitis and thrombophlebitis
2635,OTHER HEART BLOCK
2636,NO MED FACILITIES NEC
2637,"Vitreous hemorrhage, left eye"
2638,Hypersensitivity angiitis
2639,"Fractures of oth skull and facial bones, init for clos fx"
2640,"Disp fx of proximal phalanx of l rng fngr, init for opn fx"
2641,"Unsp disp fx of surgical neck of left humerus, init"
2642,FALCIPARUM MALARIA
2643,Other congenital malformations of ureter
2644,Hyperemesis gravidarum with metabolic disturbance
2645,"Osteomyelitis of vertebra, thoracic region"
2646,"Unsp intracapsular fracture of right femur, init for clos fx"
2647,"Oth disp fx of upper end of right humerus, init for clos fx"
2648,OTHER CAUSES OF MYELITIS 
2649,MALIGNANT CARCINOID TUMOR OF THE BRONCHUS AND LUNG
2650,Other specified dermatitis
2651,Non-pressure chronic ulcer of right ankle with unsp severity
2652,"Disp fx of neck of left talus, init for clos fx"
2653,POIS-CNS STIMULANT NOS
2654,"Oth disp fx of fourth cervical vertebra, init for clos fx"
2655,INFECT NOS-ANTEPARTUM
2656,BURN NOS HAND-UNSPEC
2657,"Fluid overload, unspecified"
2658,"Displacement of internal prosth dev/grft, init"
2659,"Radiculopathy, thoracic region"
2660,DEMENTIA IN CONDITIONS CLASSIFIED ELSEWHERE WITH BEHAVIORAL DISTURBANCE
2661,DIFF CONNECT TIS DIS NOS
2662,Acute cystitis without hematuria
2663,ASCARIASIS
2664,"Unsp fracture of fifth metacarpal bone, right hand, init"
2665,POSTERIOR DISLOC HIP-CL
2666,"Displaced spiral fracture of shaft of right tibia, init"
2667,"Discitis, unspecified, thoracic region"
2668,"Disp fx of neck of scapula, left shoulder, init for clos fx"
2669,"Other bursitis of knee, left knee"
2670,THYROIDITIS NOS
2671,OPEN WOUND OF EAR NEC
2672,ALCOHOL CIRRHOSIS LIVER
2673,Other specified anxiety disorders
2674,"POISONING BY ANTIDEPRESSANT, UNSPECIFIED"
2675,"Other sprain of left foot, initial encounter"
2676,Abscess of epididymis or testis
2677,"Laceration without foreign body, left thigh, init encntr"
2678,"Infective myositis, left thigh"
2679,Other symptomatic neurosyphilis
2680,"Sedatv/hyp/anxiolytc dependence w withdrawal, uncomplicated"
2681,VITREOUS HEMORRHAGE
2682,"Fracture of oth skull and facial bones, right side, init"
2683,ATTEN TO ILEOSTOMY
2684,BURN NOS BREAST
2685,"Open bite of right forearm, initial encounter"
2686,"Laceration w foreign body of oth part of head, init encntr"
2687,Anorexia
2688,"Laceration w/o fb of unsp finger w/o damage to nail, subs"
2689,"Oth fracture of right patella, init for clos fx"
2690,ACUTE PARAMETRITIS
2691,Respiratory tuberculosis unspecified
2692,"LATE EFFECT CVA, OTHER SPEECH"
2693,Right testicular pain
2694,SPRAIN INTERPHALANGEAL
2695,INTRA-ABDOM INJ NOS-OPEN
2696,"Laceration without foreign body of right buttock, sequela"
2697,"Pnctr w/o fb of l idx fngr w/o damage to nail, init"
2698,Type 2 diabetes mellitus without complications
2699,"Unspecified open wound, right lower leg, subs encntr"
2700,INFECTIOUS MONONUCLEOSIS
2701,"Mech compl of cardiac and vascular devices and implnt, init"
2702,"Contusion of right knee, initial encounter"
2703,"Partial traumatic trnsphal amputation of left thumb, init"
2704,NONINFLAM DIS VULVA NEC
2705,"Polyarthritis, unspecified"
2706,"Unsp nondisp fx of first cervical vertebra, init for clos fx"
2707,Orchitis
2708,"Disp fx of proximal phalanx of left lesser toe(s), init"
2709,"Other injury of spleen, initial encounter"
2710,"Infection oth prt genitl trct in pregnancy, second trimester"
2711,Torticollis
2712,"Laceration of right kidney, unspecified degree, init encntr"
2713,HOMICIDAL IDEATION
2714,Dehiscence of amputation stump
2715,Enteroviral vesicular pharyngitis
2716,"Oth fracture of second metacarpal bone, right hand, init"
2717,"Puncture wound w/o foreign body of right hand, init encntr"
2718,"Abrasion of oral cavity, initial encounter"
2719,"Thoracic aortic aneurysm, without rupture"
2720,Acute duodenal ulcer with perforation
2721,Oth disrd of gingiva and edentulous alveolar ridge
2722,Ulcerative (chronic) rectosigmoiditis without complications
2723,Postproc hematoma of a dgstv sys org fol a dgstv sys proc
2724,Unsp combined systolic and diastolic (congestive) hrt fail
2725,MULT FX MANDIBLE-CLOSED
2726,"Unspecified sprain of left thumb, initial encounter"
2727,PERIODONTAL DISEASE NEC
2728,"Impacted cerumen, bilateral"
2729,OPEN BRAIN LAC-DEEP COMA
2730,"Displaced trimalleolar fracture of left lower leg, init"
2731,OPEN WOUND OF HIP/THIGH
2732,"Lumbago with sciatica, unspecified side"
2733,"ENCEPHALOPATHY, UNSPECIFIED"
2734,"APPENDICITIS, UNQUALIFIED"
2735,AC INFECT POLYNEURITIS
2736,Other psoriasis
2737,Other specified diseases of upper respiratory tract
2738,Anorectal abscess
2739,"Burn of second degree of back of left hand, init encntr"
2740,"Displ commnt fx shaft of rad, r arm, 7thB"
2741,Other reactions to severe stress
2742,Benign recurrent meningitis [Mollaret]
2743,2ND DEG BURN ABDOMN WALL
2744,MALIG NEO PANCREAS NOS
2745,"Displaced spiral fx shaft of humerus, right arm, init"
2746,HERPETIC INFECT OF PENIS
2747,"INFECTION FOLLOWING OTHER INFUSION, INJECTION, TRANSFUSION, OR VACCINATION"
2748,AC OSTEOMYELITIS NEC
2749,INTRACRANIAL ABSCESS
2750,BARTHOLIN'S GLND ABSCESS
2751,Amaurosis fugax
2752,"Unsp disp fx of fifth cervical vertebra, init for clos fx"
2753,"Nondisplaced bicondylar fracture of right tibia, init"
2754,"Laceration of muscle and tendon of head, initial encounter"
2755,LUMBOSACRAL SPONDYLOSIS
2756,BOTH EYES BLIND-WHO DEF
2757,Delayed or excess hemor fol (induced) term of pregnancy
2758,Heartburn
2759,"Complete traumatic trnsphal amputation of left thumb, init"
2760,Calculus of gallbladder w chronic cholecyst w/o obstruction
2761,"Disp fx of posterior column of right acetabulum, init"
2762,"Primary osteoarthritis, left shoulder"
2763,BURN CORNEA/CONJUNCT NEC
2764,"Oth complication of nervous system prosth dev/grft, init"
2765,"Unsp complication of genitourinary prosth dev/grft, init"
2766,TOXIC EFF CAUSTIC ALKALI
2767,"Retinal hemorrhage, right eye"
2768,Embolism and thrombosis of other parts of aorta
2769,"Oth mental disorders complicating pregnancy, first trimester"
